stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
317651,317651,"George St at Jentz St",, -27.230033, 153.096438,3,https://translink.com.au/stop/317651/gtfs/,0,,
317652,317652,"Marsden Rd near Whitehorse Rd",, -27.233274, 152.980700,3,https://translink.com.au/stop/317652/gtfs/,0,,
317653,317653,"Balstrup Rd near Olsen Cct",, -27.233686, 153.000025,3,https://translink.com.au/stop/317653/gtfs/,0,,
317654,317654,"Endeavour Bvd near Kerr Rd East",, -27.231845, 153.008942,3,https://translink.com.au/stop/317654/gtfs/,0,,
317655,317655,"Bounty Bvd near Trevino Pde",, -27.210524, 153.018340,3,https://translink.com.au/stop/317655/gtfs/,0,,
317656,317656,"Bounty Bvd near Montgomerie Pde",, -27.212038, 153.013015,3,https://translink.com.au/stop/317656/gtfs/,0,,
317657,317657,"Bounty Bvd near Garcia Pde",, -27.213389, 153.010105,3,https://translink.com.au/stop/317657/gtfs/,0,,
317659,317659,"Endeavour Bvd near Bounty Bvd",, -27.220432, 153.006168,3,https://translink.com.au/stop/317659/gtfs/,0,,
317660,317660,"Endeavour Bvd near Augusta Pde",, -27.222334, 153.007734,3,https://translink.com.au/stop/317660/gtfs/,0,,
317661,317661,"Endeavour Bvd near Astley Pde",, -27.225858, 153.007243,3,https://translink.com.au/stop/317661/gtfs/,0,,
317662,317662,"Endeavour Bvd near Oxley St",, -27.229131, 153.006361,3,https://translink.com.au/stop/317662/gtfs/,0,,
317663,317663,"Endeavour Bvd near Kerr Rd East",, -27.231631, 153.009219,3,https://translink.com.au/stop/317663/gtfs/,0,,
317664,317664,"Endeavour Bvd near Oxley St",, -27.229147, 153.006044,3,https://translink.com.au/stop/317664/gtfs/,0,,
317665,317665,"Endeavour Bvd near Astley Pde",, -27.225764, 153.006919,3,https://translink.com.au/stop/317665/gtfs/,0,,
317666,317666,"Endeavour Bvd near Augusta Pde",, -27.222137, 153.007649,3,https://translink.com.au/stop/317666/gtfs/,0,,
317667,317667,"Endeavour Bvd near Bounty Bvd",, -27.220552, 153.005993,3,https://translink.com.au/stop/317667/gtfs/,0,,
317668,317668,"Bounty Bvd near Aurora Bvd",, -27.217656, 153.006425,3,https://translink.com.au/stop/317668/gtfs/,0,,
317669,317669,"Bounty Bvd near Possum Pde",, -27.213231, 153.010035,3,https://translink.com.au/stop/317669/gtfs/,0,,
317670,317670,"Bounty Bvd near Brumby Pde",, -27.211906, 153.012858,3,https://translink.com.au/stop/317670/gtfs/,0,,
317671,317671,"Bounty Bvd near Wombat Pde",, -27.210343, 153.018318,3,https://translink.com.au/stop/317671/gtfs/,0,,
317672,317672,"Macquarie St near Ney Rd",, -27.547458, 153.199931,2,https://translink.com.au/stop/317672/gtfs/,0,,
317673,317673,"Macquarie St near Ney Rd",, -27.547358, 153.199934,2,https://translink.com.au/stop/317673/gtfs/,0,,
317674,317674,"Lyndon Rd near Korawal St",, -27.551165, 153.220257,2,https://translink.com.au/stop/317674/gtfs/,0,,
317676,317676,"Lyndon Rd near Honeymyrtle Ct",, -27.556044, 153.219162,2,https://translink.com.au/stop/317676/gtfs/,0,,
317677,317677,"Lyndon Rd near Honeymyrtle Ct",, -27.555548, 153.219256,2,https://translink.com.au/stop/317677/gtfs/,0,,
317678,317678,"Lyndon Rd near Kurrajong St",, -27.559453, 153.217063,2,https://translink.com.au/stop/317678/gtfs/,0,,
317679,317679,"Sunshine Dr near Admiralty Ct",, -27.532837, 153.254332,3,https://translink.com.au/stop/317679/gtfs/,0,,
317684,317684,"Miles Platting Rd at Brilliant Place",, -27.579698, 153.119500,2,https://translink.com.au/stop/317684/gtfs/,0,,
317685,317685,"Miles Platting Rd at Brilliant Place",, -27.579650, 153.118450,2,https://translink.com.au/stop/317685/gtfs/,0,,
317686,317686,"Prins Willem Alexander Village",, -27.497721, 153.219009,2,https://translink.com.au/stop/317686/gtfs/,0,,
317694,317694,"Augusta Pkwy at Forester Avenue",, -27.651262, 152.888445,3,https://translink.com.au/stop/317694/gtfs/,0,,
3177,003177,"Tomah Rd near Binburra St, stop 34",, -27.324620, 153.041154,2,https://translink.com.au/stop/003177/gtfs/,0,,
317704,317704,"Russell Dr at Kerwin Street",, -27.635053, 152.868471,3,https://translink.com.au/stop/317704/gtfs/,0,,
317708,317708,"Underwood Rd near Rochedale Rd",, -27.595262, 153.121434,2,https://translink.com.au/stop/317708/gtfs/,0,,
317709,317709,"Underwood Rd near Gerrans St",, -27.594864, 153.118339,2,https://translink.com.au/stop/317709/gtfs/,0,,
317710,317710,"Underwood Rd near Centre Pl",, -27.594506, 153.115721,2,https://translink.com.au/stop/317710/gtfs/,0,,
317711,317711,"Underwood Rd near Centre Pl",, -27.594745, 153.116291,2,https://translink.com.au/stop/317711/gtfs/,0,,
317713,317713,"Observatory Dr near Grove Creek Cl",, -28.113958, 153.401137,6,https://translink.com.au/stop/317713/gtfs/,0,,
317714,317714,"Observatory Dr near Grove Creek Cl",, -28.113793, 153.401129,6,https://translink.com.au/stop/317714/gtfs/,0,,
317715,317715,"Scottsdale Dr at Firebird Street",, -28.090908, 153.396075,6,https://translink.com.au/stop/317715/gtfs/,0,,
317716,317716,"Scottsdale Dr at Firebird Street",, -28.091692, 153.393343,6,https://translink.com.au/stop/317716/gtfs/,0,,
317717,317717,"Scottsdale Dr at Laurel Oak Drive",, -28.089633, 153.390819,5/6,https://translink.com.au/stop/317717/gtfs/,0,,
317718,317718,"Scottsdale Dr at Laurel Oak Drive",, -28.088977, 153.390626,5/6,https://translink.com.au/stop/317718/gtfs/,0,,
317719,317719,"Scottsdale Dr at Christine Avenue",, -28.085730, 153.390152,5,https://translink.com.au/stop/317719/gtfs/,0,,
317720,317720,"Scottsdale Dr at Christine Avenue",, -28.085761, 153.390602,5,https://translink.com.au/stop/317720/gtfs/,0,,
317721,317721,"KP McGrath Dr near Angelica St",, -28.123155, 153.460985,6,https://translink.com.au/stop/317721/gtfs/,0,,
317722,317722,"KP McGrath Dr near Exmouth Cr",, -28.123837, 153.460101,6,https://translink.com.au/stop/317722/gtfs/,0,,
317723,317723,"Benabrow Ave at Ferguson Avenue",, -27.066403, 153.150522,4,https://translink.com.au/stop/317723/gtfs/,0,,
317724,317724,"Observatory Dr near Willow Tree Dr",, -28.113777, 153.391240,6,https://translink.com.au/stop/317724/gtfs/,0,,
317725,317725,"Observatory Dr near Palomar St",, -28.112515, 153.385371,6,https://translink.com.au/stop/317725/gtfs/,0,,
317731,317731,"Booval station",, -27.609546, 152.790058,3,https://translink.com.au/stop/317731/gtfs/,0,place_bvlsta,
317733,317733,"Old Logan Rd at Julieanne Street",, -27.610533, 152.915892,2,https://translink.com.au/stop/317733/gtfs/,0,,
317734,317734,"Old Logan Rd at Julieanne Street",, -27.610573, 152.915801,2,https://translink.com.au/stop/317734/gtfs/,0,,
317735,317735,"Collingwood Dr at Old Ipswich Road",, -27.610646, 152.865352,3,https://translink.com.au/stop/317735/gtfs/,0,,
317736,317736,"Gorry St at Dowden Street",, -27.607798, 152.882252,2,https://translink.com.au/stop/317736/gtfs/,0,,
317737,317737,"Ingles Dr at Harold Reinhardt Drive",, -27.657601, 152.845969,3,https://translink.com.au/stop/317737/gtfs/,0,,
317738,317738,"School Rd at Alawoona Street",, -27.654897, 152.850727,3,https://translink.com.au/stop/317738/gtfs/,0,,
317739,317739,"Highbury Dr at Llewellyn Street",, -27.636702, 152.866446,3,https://translink.com.au/stop/317739/gtfs/,0,,
317740,317740,"Highbury Dr near Llewellyn St",, -27.636835, 152.867220,3,https://translink.com.au/stop/317740/gtfs/,0,,
317741,317741,"Redbank Plains Rd at Barry Drive",, -27.637790, 152.873259,3,https://translink.com.au/stop/317741/gtfs/,0,,
317742,317742,"Dudleigh St near Clifton St",, -27.610472, 152.793648,3,https://translink.com.au/stop/317742/gtfs/,0,,
317743,317743,"Dudleigh St near Clifton St",, -27.610308, 152.793559,3,https://translink.com.au/stop/317743/gtfs/,0,,
317744,317744,"Edwards St near Rockman Dr",, -27.646452, 152.773845,3,https://translink.com.au/stop/317744/gtfs/,0,,
317745,317745,"Edwards St near Rockman Dr",, -27.646309, 152.773768,3,https://translink.com.au/stop/317745/gtfs/,0,,
317747,317747,"Braeside Rd near Tibbits St",, -27.610365, 152.813310,3,https://translink.com.au/stop/317747/gtfs/,0,,
317748,317748,"Lindsay St at Bergins Hill Road",, -27.611679, 152.808867,3,https://translink.com.au/stop/317748/gtfs/,0,,
317751,317751,"Brisbane Tce near Layard St",, -27.606251, 152.903899,2,https://translink.com.au/stop/317751/gtfs/,0,,
317752,317752,"Bourke St near Fernvale Rd",, -27.588398, 152.741366,3,https://translink.com.au/stop/317752/gtfs/,0,,
317753,317753,"Bourke St near Fernvale Rd",, -27.588456, 152.741508,3,https://translink.com.au/stop/317753/gtfs/,0,,
317754,317754,"Gynther Rd near Eton St",, -27.214921, 153.053221,3,https://translink.com.au/stop/317754/gtfs/,0,,
317755,317755,"Bardon Rd at Rudduck Street",, -27.644875, 153.099779,2,https://translink.com.au/stop/317755/gtfs/,0,,
317756,317756,"Koobil St near Sunningdale Ave",, -27.598953, 153.127226,2,https://translink.com.au/stop/317756/gtfs/,0,,
317757,317757,"Marlborough Rd near Bayfields Ave",, -27.497544, 153.232709,2,https://translink.com.au/stop/317757/gtfs/,0,,
317758,317758,"Queen St at School of Arts Road",, -27.627972, 153.302282,3,https://translink.com.au/stop/317758/gtfs/,0,,
317759,317759,"Queen St near School of Arts Rd",, -27.627586, 153.302252,3,https://translink.com.au/stop/317759/gtfs/,0,,
317760,317760,"Spoonbill St near Peacock Ct",, -27.500482, 153.222851,2,https://translink.com.au/stop/317760/gtfs/,0,,
317761,317761,"Ferry Rd near Thorneside Rd",, -27.487524, 153.196205,2,https://translink.com.au/stop/317761/gtfs/,0,,
317762,317762,"Ferry Rd near Thorneside Rd",, -27.487394, 153.196225,2,https://translink.com.au/stop/317762/gtfs/,0,,
317763,317763,"Whitehill Rd near Raff St",, -27.616297, 152.773309,3,https://translink.com.au/stop/317763/gtfs/,0,,
317764,317764,"Swanton Dr near Somerset Dr",, -28.090460, 153.368787,5,https://translink.com.au/stop/317764/gtfs/,0,,
317765,317765,"Swanton Dr near Somerset Dr",, -28.090512, 153.368995,5,https://translink.com.au/stop/317765/gtfs/,0,,
317766,317766,"Kindra Ave at Lara Avenue",, -27.979706, 153.396145,5,https://translink.com.au/stop/317766/gtfs/,0,,
317768,317768,"Gordon Pde near Oakley St",, -27.453884, 153.179603,2,https://translink.com.au/stop/317768/gtfs/,0,,
317769,317769,"Mountjoy Tce near Wolsey Pde",, -27.450983, 153.177156,2,https://translink.com.au/stop/317769/gtfs/,0,,
317770,317770,"Mountjoy Tce near Irene St",, -27.450440, 153.176340,2,https://translink.com.au/stop/317770/gtfs/,0,,
317771,317771,"Allenby Rd at Montgomery Drive",, -27.510013, 153.235707,2,https://translink.com.au/stop/317771/gtfs/,0,,
